timeframe,shares_traded,Percent Change from Previous Month
2019-01-01T00:00:00-08:00,2,
2019-02-01T00:00:00-08:00,4,1.00000000000000000000
2019-03-01T00:00:00-08:00,383620,95904.000000000000
2019-04-01T00:00:00-07:00,654475,0.70605025806787967259
2019-05-01T00:00:00-07:00,3138761,3.7958455250391535
2019-06-01T00:00:00-07:00,3429365,0.09258557755751393623
2019-07-01T00:00:00-07:00,5058129,0.47494623640236603569
2019-08-01T00:00:00-07:00,8326641,0.64618992516798207400
2019-09-01T00:00:00-07:00,8202725,-0.01488187133323029058
2019-10-01T00:00:00-07:00,5184930,-0.36790152053128685894
2019-11-01T00:00:00-07:00,4804982,-0.07327929210230417768
2019-12-01T00:00:00-08:00,4626198,-0.03720804781370669026
2020-01-01T00:00:00-08:00,5323323,0.15069069676654566017
2020-02-01T00:00:00-08:00,7791946,0.46373721827512626981
2020-03-01T00:00:00-08:00,16502854,1.1179374189708194
2020-04-01T00:00:00-07:00,21921182,0.32832672457745793546
2020-05-01T00:00:00-07:00,36019854,0.64315291027646228201
2020-06-01T00:00:00-07:00,70821782,0.96618736988772913960
2020-07-01T00:00:00-07:00,55384006,-0.21798062070790593775
2020-08-01T00:00:00-07:00,46748779,-0.15591553633733175603
2020-09-01T00:00:00-07:00,43123395,-0.07755034628818861772
2020-10-01T00:00:00-07:00,56598372,0.31247486428190544831
2020-11-01T00:00:00-07:00,65129612.283587180,0.15073296248851786762
2020-12-01T00:00:00-08:00,77414013.5,0.18861468363920414204
2021-01-01T00:00:00-08:00,115348215.25,0.49001724668363822785
2021-02-01T00:00:00-08:00,117206578.634557553,0.01611089846973209237
2021-03-01T00:00:00-08:00,92732647.355797411,-0.20881021836724932616
2021-04-01T00:00:00-07:00,64733393.754812336,-0.30193523423910567729
2021-05-01T00:00:00-07:00,82889767.263165168,0.28047924657129646666
2021-06-01T00:00:00-07:00,80663337.036108548,-0.02686013365181697778
2021-07-01T00:00:00-07:00,60119836.686633397,-0.25468200429494943438
2021-08-01T00:00:00-07:00,51094319.616311489,-0.15012544224573010503
2021-09-01T00:00:00-07:00,50663799.184419401,-0.00842599402683204516
2021-10-01T00:00:00-07:00,57496456.605732274,0.13486271324504449826
2021-11-01T00:00:00-07:00,55924292.347818085,-0.02734367212739589207
2021-12-01T00:00:00-08:00,69588954.605308096,0.24434215765312486460
2022-01-01T00:00:00-08:00,59239347.602713748,-0.14872485240358679287
2022-02-01T00:00:00-08:00,63235230.926769712,0.06745319598814948840
2022-03-01T00:00:00-08:00,101744762.965669689,0.60898855708293980019
2022-04-01T00:00:00-07:00,41793027.700179767,-0.58923657118075548263
,5,-0.99999988036281946669
